,year_film,year_ceremony,ceremony,name,film,winner,category2
3642,1960,1961,33,Billy Wilder,The Apartment,True,DIRECTING
3647,1960,1961,33,"Larry Lansburgh, Producer",The Horse with the Flying Tail,True,ETC
3652,1960,1961,33,"James Hill, Producer",Giuseppina,True,ETC
3663,1960,1961,33,Sweden,The Virgin Spring,True,ETC
3666,1960,1961,33,Ernest Gold,Exodus,True,ETC
3673,1960,1961,33,"Morris Stoloff, Harry Sukman",Song without End (The Story of Franz Liszt),True,ETC
3677,1960,1961,33,Music and Lyrics by Manos Hadjidakis,Never on Sunday,True,ETC
3680,1960,1961,33,"Billy Wilder, Producer",The Apartment,True,BEST PICTURE
3687,1960,1961,33,"William L. Snyder, Producer",Munro,True,ETC
3690,1960,1961,33,"Ezra R. Baker, Producer",Day of the Painter,True,ETC
3693,1960,1961,33,"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",The Alamo,True,ETC
3699,1960,1961,33,"Visual Effects by Gene Warren, Tim Baar",The Time Machine,True,ETC
3700,1960,1961,33,Richard Brooks,Elmer Gantry,True,WRITING
3706,1960,1961,33,"Billy Wilder, I. A. L. Diamond",The Apartment,True,WRITING
3716,1961,1962,34,Maximilian Schell,Judgment at Nuremberg,True,ACTOR
3719,1961,1962,34,George Chakiris,West Side Story,True,ACTOR SUPPORTING
3726,1961,1962,34,Sophia Loren,Two Women,True,ACTRESS
3733,1961,1962,34,Rita Moreno,West Side Story,True,ACTRESS SUPPORTING
3736,1961,1962,34,Art Direction:  Harry Horner;  Set Decoration:  Gene Callahan,The Hustler,True,ETC
3743,1961,1962,34,Art Direction:  Boris Leven;  Set Decoration:  Victor A. Gangelin,West Side Story,True,ETC
3746,1961,1962,34,Eugen Shuftan,The Hustler,True,CINEMATOGRAPHY
3753,1961,1962,34,Daniel L. Fapp,West Side Story,True,CINEMATOGRAPHY
3757,1961,1962,34,Piero Gherardi,La Dolce Vita,True,ETC
3763,1961,1962,34,Irene Sharaff,West Side Story,True,ETC
3768,1961,1962,34,"Robert Wise, Jerome Robbins",West Side Story,True,DIRECTING
3770,1961,1962,34,"Arthur Cohn and Rene Lafuite, Producers",Le Ciel et la Boue (Sky Above and Mud Beneath),True,ETC
3775,1961,1962,34,"Frank P. Bibas, Producer",Project Hope,True,ETC
3785,1961,1962,34,Sweden,Through a Glass Darkly,True,ETC
3786,1961,1962,34,Henry Mancini,Breakfast at Tiffany's,True,ETC
3795,1961,1962,34,"Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal",West Side Story,True,ETC
3798,1961,1962,34,Music by Henry Mancini; Lyrics by Johnny Mercer,Breakfast at Tiffany's,True,ETC
3805,1961,1962,34,"Robert Wise, Producer",West Side Story,True,BEST PICTURE
3808,1961,1962,34,Zagreb Film,Ersatz (The Substitute),True,ETC
3814,1961,1962,34,Templar Film Studios,Seawards the Great Ships,True,ETC
3820,1961,1962,34,"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director",West Side Story,True,ETC
3822,1961,1962,34,Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham,The Guns of Navarone,True,ETC
3826,1961,1962,34,Abby Mann,Judgment at Nuremberg,True,WRITING
3832,1961,1962,34,William Inge,Splendor in the Grass,True,WRITING
3842,1962,1963,35,Gregory Peck,To Kill a Mockingbird,True,ACTOR
3843,1962,1963,35,Ed Begley,Sweet Bird of Youth,True,ACTOR SUPPORTING
3848,1962,1963,35,Anne Bancroft,The Miracle Worker,True,ACTRESS
3854,1962,1963,35,Patty Duke,The Miracle Worker,True,ACTRESS SUPPORTING
3862,1962,1963,35,"Art Direction:  Alexander Golitzen, Henry Bumstead;  Set Decoration:  Oliver Emert",To Kill a Mockingbird,True,ETC
3863,1962,1963,35,"Art Direction:  John Box, John Stoll;  Set Decoration:  Dario Simoni",Lawrence of Arabia,True,ETC
3869,1962,1963,35,"Jean Bourgoin, Walter Wottitz, (Henri Persin)",The Longest Day,True,CINEMATOGRAPHY
3875,1962,1963,35,Fred A. Young,Lawrence of Arabia,True,CINEMATOGRAPHY
3882,1962,1963,35,Norma Koch,What Ever Happened to Baby Jane?,True,ETC
3887,1962,1963,35,Mary Wills,The Wonderful World of the Brothers Grimm,True,ETC
3890,1962,1963,35,David Lean,Lawrence of Arabia,True,DIRECTING
3894,1962,1963,35,"Louis Clyde Stoumen, Producer",Black Fox,True,ETC
3895,1962,1963,35,"Jack Howells, Producer",Dylan Thomas,True,ETC
3906,1962,1963,35,France,Sundays and Cybele,True,ETC
3909,1962,1963,35,Maurice Jarre,Lawrence of Arabia,True,ETC
3916,1962,1963,35,Ray Heindorf,Meredith Willson's The Music Man,True,ETC
3918,1962,1963,35,Music by Henry Mancini; Lyrics by Johnny Mercer,Days of Wine and Roses,True,ETC
3923,1962,1963,35,"Sam Spiegel, Producer",Lawrence of Arabia,True,BEST PICTURE
3928,1962,1963,35,"John Hubley and Faith Hubley, Producers",The Hole,True,ETC
3936,1962,1963,35,"Pierre Etaix and J.C. Carrière, Producers",Heureux Anniversaire (Happy Anniversary),True,ETC
3939,1962,1963,35,"Shepperton Studio Sound Department, John Cox, Sound Director",Lawrence of Arabia,True,ETC
3943,1962,1963,35,Visual Effects by Robert MacDonald; Audible Effects by Jacques Maumont,The Longest Day,True,ETC
3949,1962,1963,35,Horton Foote,To Kill a Mockingbird,True,WRITING
3950,1962,1963,35,"Ennio de Concini, Alfredo Giannetti, Pietro Germi",Divorce--Italian Style,True,WRITING
3960,1963,1964,36,Sidney Poitier,Lilies of the Field,True,ACTOR
3963,1963,1964,36,Melvyn Douglas,Hud,True,ACTOR SUPPORTING
3968,1963,1964,36,Patricia Neal,Hud,True,ACTRESS
3974,1963,1964,36,Margaret Rutherford,The V.I.P.s,True,ACTRESS SUPPORTING
3976,1963,1964,36,Gene Callahan,America America,True,ETC
3982,1963,1964,36,"Art Direction:  John DeCuir, Jack Martin Smith, Hilyard Brown, Herman Blumenthal, Elven Webb, Maurice Pelling, Boris Juraga;  Set Decoration:  Walter M. Scott, Paul S. Fox, Ray Moyer",Cleopatra,True,ETC
3988,1963,1964,36,James Wong Howe,Hud,True,CINEMATOGRAPHY
3992,1963,1964,36,Leon Shamroy,Cleopatra,True,CINEMATOGRAPHY
3996,1963,1964,36,Piero Gherardi,Federico Fellini's 8-1/2,True,ETC
4002,1963,1964,36,"Irene Sharaff, Vittorio Nino Novarese, Renie",Cleopatra,True,ETC
4010,1963,1964,36,Tony Richardson,Tom Jones,True,DIRECTING
4012,1963,1964,36,"Robert Hughes, Producer",Robert Frost: A Lover's Quarrel with the World,True,ETC
4015,1963,1964,36,"Simon Schiffrin, Producer",Chagall,True,ETC
4025,1963,1964,36,Italy,Federico Fellini's 8-1/2,True,ETC
4034,1963,1964,36,John Addison,Tom Jones,True,ETC
4036,1963,1964,36,Andre Previn,Irma La Douce,True,ETC
4040,1963,1964,36,Music by James Van Heusen; Lyrics by Sammy Cahn,Papa's Delicate Condition,True,ETC
4049,1963,1964,36,"Tony Richardson, Producer",Tom Jones,True,BEST PICTURE
4051,1963,1964,36,"Ernest Pintoff, Producer",The Critic,True,ETC
4057,1963,1964,36,"Paul de Roubaix and Marcel Ichac, Producers",An Occurrence at Owl Creek Bridge,True,ETC
4063,1963,1964,36,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",How the West Was Won,True,ETC
4066,1963,1964,36,Walter G. Elliott,"It's a Mad, Mad, Mad, Mad World",True,ETC
4068,1963,1964,36,"Emil Kosa, Jr.",Cleopatra,True,ETC
4073,1963,1964,36,John Osborne,Tom Jones,True,WRITING
4077,1963,1964,36,James R. Webb,How the West Was Won,True,WRITING
4081,1964,1965,37,Rex Harrison,My Fair Lady,True,ACTOR
4089,1964,1965,37,Peter Ustinov,Topkapi,True,ACTOR SUPPORTING
4090,1964,1965,37,Julie Andrews,Mary Poppins,True,ACTRESS
4098,1964,1965,37,Lila Kedrova,Zorba the Greek,True,ACTRESS SUPPORTING
4104,1964,1965,37,Vassilis Fotopoulos,Zorba the Greek,True,ETC
4107,1964,1965,37,"Art Direction:  Gene Allen, Cecil Beaton;  Set Decoration:  George James Hopkins",My Fair Lady,True,ETC
4114,1964,1965,37,Walter Lassally,Zorba the Greek,True,CINEMATOGRAPHY
4118,1964,1965,37,Harry Stradling,My Fair Lady,True,CINEMATOGRAPHY
4123,1964,1965,37,Dorothy Jeakins,The Night of the Iguana,True,ETC
4127,1964,1965,37,Cecil Beaton,My Fair Lady,True,ETC
4133,1964,1965,37,George Cukor,My Fair Lady,True,DIRECTING
4138,1964,1965,37,"Jacques-Yves Cousteau, Producer",Jacques-Yves Cousteau's World without Sun,True,ETC
4143,1964,1965,37,"Charles Guggenheim, Producer",Nine from Little Rock,True,ETC
4154,1964,1965,37,Italy,"Yesterday, Today and Tomorrow",True,ETC
4158,1964,1965,37,"Richard M. Sherman, Robert B. Sherman",Mary Poppins,True,ETC
4162,1964,1965,37,Andre Previn,My Fair Lady,True,ETC
4165,1964,1965,37,Music and Lyrics by Richard M. Sherman and Robert B. Sherman,Mary Poppins,True,ETC
4173,1964,1965,37,"Jack L. Warner, Producer",My Fair Lady,True,BEST PICTURE
4178,1964,1965,37,"David H. DePatie and Friz Freleng, Producers",The Pink Phink,True,ETC
4179,1964,1965,37,"Edward Schreiber, Producer",Casals Conducts: 1964,True,ETC
4185,1964,1965,37,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director",My Fair Lady,True,ETC
4187,1964,1965,37,Norman Wanstall,Goldfinger,True,ETC
4189,1964,1965,37,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske",Mary Poppins,True,ETC
4191,1964,1965,37,Edward Anhalt,Becket,True,WRITING
4196,1964,1965,37,"Story by S. H. Barnett;  Screenplay by Peter Stone, Frank Tarloff",Father Goose,True,WRITING
4203,1965,1966,38,Lee Marvin,Cat Ballou,True,ACTOR
4207,1965,1966,38,Martin Balsam,A Thousand Clowns,True,ACTOR SUPPORTING
4213,1965,1966,38,Julie Christie,Darling,True,ACTRESS
4220,1965,1966,38,Shelley Winters,A Patch of Blue,True,ACTRESS SUPPORTING
4224,1965,1966,38,Art Direction:  Robert Clatworthy;  Set Decoration:  Joseph Kish,Ship of Fools,True,ETC
4228,1965,1966,38,"Art Direction:  John Box, Terry Marsh;  Set Decoration:  Dario Simoni",Doctor Zhivago,True,ETC
4236,1965,1966,38,Ernest Laszlo,Ship of Fools,True,CINEMATOGRAPHY
4238,1965,1966,38,Freddie Young,Doctor Zhivago,True,CINEMATOGRAPHY
4242,1965,1966,38,Julie Harris,Darling,True,ETC
4248,1965,1966,38,Phyllis Dalton,Doctor Zhivago,True,ETC
4255,1965,1966,38,Robert Wise,The Sound of Music,True,DIRECTING
4258,1965,1966,38,"Sidney Glazier, Producer",The Eleanor Roosevelt Story,True,ETC
4265,1965,1966,38,"Francis Thompson, Producer",To Be Alive!,True,ETC
4276,1965,1966,38,Czechoslovakia,The Shop on Main Street,True,ETC
4278,1965,1966,38,Maurice Jarre,Doctor Zhivago,True,ETC
4284,1965,1966,38,Irwin Kostal,The Sound of Music,True,ETC
4289,1965,1966,38,Music by Johnny Mandel; Lyrics by Paul Francis Webster,The Sandpiper,True,ETC
4295,1965,1966,38,"Robert Wise, Producer",The Sound of Music,True,BEST PICTURE
4298,1965,1966,38,"Chuck Jones and Les Goldman, Producers",The Dot and the Line,True,ETC
4300,1965,1966,38,"Claude Berri, Producer",The Chicken (Le Poulet),True,ETC
4309,1965,1966,38,"20th Century-Fox Studio Sound Department, James P. Corcoran, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director",The Sound of Music,True,ETC
4310,1965,1966,38,Tregoweth Brown,The Great Race,True,ETC
4313,1965,1966,38,John Stears,Thunderball,True,ETC
4316,1965,1966,38,Robert Bolt,Doctor Zhivago,True,WRITING
4320,1965,1966,38,Frederic Raphael,Darling,True,WRITING
4331,1966,1967,39,Paul Scofield,A Man for All Seasons,True,ACTOR
4334,1966,1967,39,Walter Matthau,The Fortune Cookie,True,ACTOR SUPPORTING
4341,1966,1967,39,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,True,ACTRESS
4342,1966,1967,39,Sandy Dennis,Who's Afraid of Virginia Woolf?,True,ACTRESS SUPPORTING
4351,1966,1967,39,Art Direction:  Richard Sylbert;  Set Decoration:  George James Hopkins,Who's Afraid of Virginia Woolf?,True,ETC
4352,1966,1967,39,"Art Direction:  Jack Martin Smith, Dale Hennesy;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",Fantastic Voyage,True,ETC
4361,1966,1967,39,Haskell Wexler,Who's Afraid of Virginia Woolf?,True,CINEMATOGRAPHY
4364,1966,1967,39,Ted Moore,A Man for All Seasons,True,CINEMATOGRAPHY
4371,1966,1967,39,Irene Sharaff,Who's Afraid of Virginia Woolf?,True,ETC
4375,1966,1967,39,"Elizabeth Haffenden, Joan Bridge",A Man for All Seasons,True,ETC
4379,1966,1967,39,Fred Zinnemann,A Man for All Seasons,True,DIRECTING
4386,1966,1967,39,"Peter Watkins, Producer",The War Game,True,ETC
4391,1966,1967,39,"Edmond A. Levy, Producer",A Year toward Tomorrow,True,ETC
4399,1966,1967,39,France,A Man and a Woman,True,ETC
4403,1966,1967,39,John Barry,Born Free,True,ETC
4407,1966,1967,39,Ken Thorne,A Funny Thing Happened on the Way to the Forum,True,ETC
4413,1966,1967,39,Music by John Barry; Lyrics by Don Black,Born Free,True,ETC
4418,1966,1967,39,"Fred Zinnemann, Producer",A Man for All Seasons,True,BEST PICTURE
4423,1966,1967,39,"John Hubley and Faith Hubley, Producers",Herb Alpert and the Tijuana Brass Double Feature,True,ETC
4426,1966,1967,39,"Edgar Anstey, Producer",Wild Wings,True,ETC
4429,1966,1967,39,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director",Grand Prix,True,ETC
4434,1966,1967,39,Gordon Daniel,Grand Prix,True,ETC
4435,1966,1967,39,Art Cruickshank,Fantastic Voyage,True,ETC
4438,1966,1967,39,Robert Bolt,A Man for All Seasons,True,WRITING
4445,1966,1967,39,"Story by Claude Lelouch;  Screenplay by Claude Lelouch, Pierre Uytterhoeven",A Man and a Woman,True,WRITING
4454,1967,1968,40,Rod Steiger,In the Heat of the Night,True,ACTOR
4459,1967,1968,40,George Kennedy,Cool Hand Luke,True,ACTOR SUPPORTING
4465,1967,1968,40,Katharine Hepburn,Guess Who's Coming to Dinner,True,ACTRESS
4468,1967,1968,40,Estelle Parsons,Bonnie and Clyde,True,ACTRESS SUPPORTING
4471,1967,1968,40,"Art Direction:  John Truscott, Edward Carrere;  Set Decoration:  John W. Brown",Camelot,True,ETC
4476,1967,1968,40,Burnett Guffey,Bonnie and Clyde,True,CINEMATOGRAPHY
4482,1967,1968,40,John Truscott,Camelot,True,ETC
4487,1967,1968,40,Mike Nichols,The Graduate,True,DIRECTING
4491,1967,1968,40,"Pierre Schoendoerffer, Producer",The Anderson Platoon,True,ETC
4498,1967,1968,40,"Mark Harris and Trevor Greenwood, Producers",The Redwoods,True,ETC
4506,1967,1968,40,Czechoslovakia,Closely Watched Trains,True,ETC
4515,1967,1968,40,Elmer Bernstein,Thoroughly Modern Millie,True,ETC
4516,1967,1968,40,"Alfred Newman, Ken Darby",Camelot,True,ETC
4524,1967,1968,40,Music and Lyrics by Leslie Bricusse,Doctor Dolittle,True,ETC
4530,1967,1968,40,"Walter Mirisch, Producer",In the Heat of the Night,True,BEST PICTURE
4531,1967,1968,40,"Fred Wolf, Producer",The Box,True,ETC
4535,1967,1968,40,"Christopher Chapman, Producer",A Place to Stand,True,ETC
4541,1967,1968,40,Samuel Goldwyn Studio Sound Department,In the Heat of the Night,True,ETC
4543,1967,1968,40,John Poyner,The Dirty Dozen,True,ETC
4545,1967,1968,40,L. B. Abbott,Doctor Dolittle,True,ETC
4550,1967,1968,40,Stirling Silliphant,In the Heat of the Night,True,WRITING
4554,1967,1968,40,William Rose,Guess Who's Coming to Dinner,True,WRITING
4564,1968,1969,41,Cliff Robertson,Charly,True,ACTOR
4565,1968,1969,41,Jack Albertson,The Subject Was Roses,True,ACTOR SUPPORTING
4570,1968,1969,41,Katharine Hepburn,The Lion in Winter,True,ACTRESS
4573,1968,1969,41,Barbra Streisand,Funny Girl,True,ACTRESS
4576,1968,1969,41,Ruth Gordon,Rosemary's Baby,True,ACTRESS SUPPORTING
4580,1968,1969,41,"Art Direction:  John Box, Terence Marsh;  Set Decoration:  Vernon Dixon, Ken Muggleston",Oliver!,True,ETC
4588,1968,1969,41,Pasqualino De Santis,Romeo and Juliet,True,CINEMATOGRAPHY
4593,1968,1969,41,Danilo Donati,Romeo and Juliet,True,ETC
4597,1968,1969,41,Carol Reed,Oliver!,True,DIRECTING
4601,1968,1969,41,"Bill McGaw, Producer",Journey into Self,True,ETC
4609,1968,1969,41,"Saul Bass, Producer",Why Man Creates,True,ETC
4619,1968,1969,41,Union of Soviet Socialist Republics,War and Peace,True,ETC
4621,1968,1969,41,John Barry,The Lion in Winter,True,ETC
4627,1968,1969,41,Adaptation score by John Green,Oliver!,True,ETC
4634,1968,1969,41,Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,The Thomas Crown Affair,True,ETC
4637,1968,1969,41,"John Woolf, Producer",Oliver!,True,BEST PICTURE
4643,1968,1969,41,"Walt Disney, Producer",Winnie the Pooh and the Blustery Day,True,ETC
4647,1968,1969,41,"Charles Guggenheim, Producer",Robert Kennedy Remembered,True,ETC
4651,1968,1969,41,Shepperton Studio Sound Department,Oliver!,True,ETC
4654,1968,1969,41,Stanley Kubrick,2001: A Space Odyssey,True,ETC
4655,1968,1969,41,James Goldman,The Lion in Winter,True,WRITING
4663,1968,1969,41,Mel Brooks,The Producers,True,WRITING
4672,1969,1970,42,John Wayne,True Grit,True,ACTOR
4677,1969,1970,42,Gig Young,"They Shoot Horses, Don't They?",True,ACTOR SUPPORTING
4682,1969,1970,42,Maggie Smith,The Prime of Miss Jean Brodie,True,ACTRESS
4685,1969,1970,42,Goldie Hawn,Cactus Flower,True,ACTRESS SUPPORTING
4690,1969,1970,42,"Art Direction:  John DeCuir, Jack Martin Smith, Herman Blumenthal;  Set Decoration:  Walter M. Scott, George Hopkins, Raphael Bretton","Hello, Dolly!",True,ETC
4695,1969,1970,42,Conrad Hall,Butch Cassidy and the Sundance Kid,True,CINEMATOGRAPHY
4698,1969,1970,42,Margaret Furse,Anne of the Thousand Days,True,ETC
4705,1969,1970,42,John Schlesinger,Midnight Cowboy,True,DIRECTING
4708,1969,1970,42,"Bernard Chevry, Producer",Arthur Rubinstein - The Love of Life,True,ETC
4713,1969,1970,42,"Denis Sanders and Robert M. Fresco, Producers",Czechoslovakia 1968,True,ETC
4727,1969,1970,42,Algeria,Z,True,ETC
4729,1969,1970,42,Burt Bacharach,Butch Cassidy and the Sundance Kid,True,ETC
4734,1969,1970,42,Adaptation score by Lennie Hayton and Lionel Newman,"Hello, Dolly!",True,ETC
4740,1969,1970,42,Music by Burt Bacharach; Lyrics by Hal David,Butch Cassidy and the Sundance Kid,True,ETC
4746,1969,1970,42,"Jerome Hellman, Producer",Midnight Cowboy,True,BEST PICTURE
4748,1969,1970,42,"Ward Kimball, Producer",It's Tough to Be a Bird,True,ETC
4752,1969,1970,42,"Joan Keller Stern, Producer",The Magic Machines,True,ETC
4757,1969,1970,42,"Jack Solomon, Murray Spivack","Hello, Dolly!",True,ETC
4760,1969,1970,42,Robbie Robertson,Marooned,True,ETC
4763,1969,1970,42,Waldo Salt,Midnight Cowboy,True,WRITING
4767,1969,1970,42,William Goldman,Butch Cassidy and the Sundance Kid,True,WRITING
4777,1970,1971,43,George C. Scott,Patton,True,ACTOR
4782,1970,1971,43,John Mills,Ryan's Daughter,True,ACTOR SUPPORTING
4784,1970,1971,43,Glenda Jackson,Women in Love,True,ACTRESS
4790,1970,1971,43,Helen Hayes,Airport,True,ACTRESS SUPPORTING
4795,1970,1971,43,"Art Direction:  Urie McCleary, Gil Parrondo;  Set Decoration:  Antonio Mateos, Pierre-Louis Thevenet",Patton,True,ETC
4800,1970,1971,43,Freddie Young,Ryan's Daughter,True,CINEMATOGRAPHY
4804,1970,1971,43,Nino Novarese,Cromwell,True,ETC
4811,1970,1971,43,Franklin J. Schaffner,Patton,True,DIRECTING
4817,1970,1971,43,"Bob Maurice, Producer",Woodstock,True,ETC
4819,1970,1971,43,"Joseph Strick, Producer",Interviews with My Lai Veterans,True,ETC
4830,1970,1971,43,Italy,Investigation of a Citizen above Suspicion,True,ETC
4835,1970,1971,43,Francis Lai,Love Story,True,ETC
4841,1970,1971,43,Music and lyrics by The Beatles,Let It Be,True,ETC
4843,1970,1971,43,Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),Lovers and Other Strangers,True,ETC
4852,1970,1971,43,"Frank McCarthy, Producer",Patton,True,BEST PICTURE
4854,1970,1971,43,"Nick Bosustow, Producer",Is It Always Right to Be Right?,True,ETC
4856,1970,1971,43,"John Longenecker, Producer",The Resurrection of Broncho Billy,True,ETC
4860,1970,1971,43,"Douglas Williams, Don Bassman",Patton,True,ETC
4865,1970,1971,43,"A. D. Flowers, L. B. Abbott",Tora! Tora! Tora!,True,ETC
4869,1970,1971,43,"Ring Lardner, Jr.",M*A*S*H,True,WRITING
4875,1970,1971,43,"Francis Ford Coppola, Edmund H. North",Patton,True,WRITING
4881,1971,1972,44,Gene Hackman,The French Connection,True,ACTOR
4888,1971,1972,44,Ben Johnson,The Last Picture Show,True,ACTOR SUPPORTING
4891,1971,1972,44,Jane Fonda,Klute,True,ACTRESS
4898,1971,1972,44,Cloris Leachman,The Last Picture Show,True,ACTRESS SUPPORTING
4904,1971,1972,44,"Art Direction:  John Box, Ernest Archer, Jack Maxsted, Gil Parrondo;  Set Decoration:  Vernon Dixon",Nicholas and Alexandra,True,ETC
4905,1971,1972,44,Oswald Morris,Fiddler on the Roof,True,CINEMATOGRAPHY
4913,1971,1972,44,"Yvonne Blake, Antonio Castillo",Nicholas and Alexandra,True,ETC
4917,1971,1972,44,William Friedkin,The French Connection,True,DIRECTING
4921,1971,1972,44,"Walon Green, Producer",The Hellstrom Chronicle,True,ETC
4928,1971,1972,44,"Manuel Arango and Robert Amram, Producers",Sentinels of Silence,True,ETC
4937,1971,1972,44,Italy,The Garden of the Finzi Continis,True,ETC
4944,1971,1972,44,Michel Legrand,Summer of '42,True,ETC
4947,1971,1972,44,Adaptation Score by John Williams,Fiddler on the Roof,True,ETC
4954,1971,1972,44,Music and Lyrics by Isaac Hayes,Shaft,True,ETC
4957,1971,1972,44,"Philip D'Antoni, Producer",The French Connection,True,BEST PICTURE
4960,1971,1972,44,"Ted Petok, Producer",The Crunch Bird,True,ETC
4965,1971,1972,44,"Manuel Arango and Robert Amram, Producers",Sentinels of Silence,True,ETC
4967,1971,1972,44,"Gordon K. McCallum, David Hildyard",Fiddler on the Roof,True,ETC
4971,1971,1972,44,"Alan Maley, Eustace Lycett, Danny Lee",Bedknobs and Broomsticks,True,ETC
4975,1971,1972,44,Ernest Tidyman,The French Connection,True,WRITING
4978,1971,1972,44,Paddy Chayefsky,The Hospital,True,WRITING
4984,1972,1973,45,Marlon Brando,The Godfather,True,ACTOR
4992,1972,1973,45,Joel Grey,Cabaret,True,ACTOR SUPPORTING
4994,1972,1973,45,Liza Minnelli,Cabaret,True,ACTRESS
5000,1972,1973,45,Eileen Heckart,Butterflies Are Free,True,ACTRESS SUPPORTING
5004,1972,1973,45,"Art Direction:  Rolf Zehetbauer, Jurgen Kiebach;  Set Decoration:  Herbert Strabel",Cabaret,True,ETC
5010,1972,1973,45,Geoffrey Unsworth,Cabaret,True,CINEMATOGRAPHY
5017,1972,1973,45,Anthony Powell,Travels with My Aunt,True,ETC
5019,1972,1973,45,Bob Fosse,Cabaret,True,DIRECTING
5027,1972,1973,45,"Howard Smith and Sarah Kernochan, Producers",Marjoe,True,ETC
5032,1972,1973,45,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers",This Tiny World,True,ETC
5040,1972,1973,45,France,The Discreet Charm of the Bourgeoisie,True,ETC
5046,1972,1973,45,"Charles Chaplin, Raymond Rasch, Larry Russell",Limelight,True,ETC
5050,1972,1973,45,Adaptation Score by Ralph Burns,Cabaret,True,ETC
5056,1972,1973,45,Music and Lyrics by Al Kasha and Joel Hirschhorn,The Poseidon Adventure,True,ETC
5061,1972,1973,45,"Albert S. Ruddy, Producer",The Godfather,True,BEST PICTURE
5063,1972,1973,45,"Richard Williams, Producer",A Christmas Carol,True,ETC
5067,1972,1973,45,"Richard Barclay, Producer",Norman Rockwell's World...An American Dream,True,ETC
5070,1972,1973,45,"Robert Knudson, David Hildyard",Cabaret,True,ETC
5076,1972,1973,45,"Mario Puzo, Francis Ford Coppola",The Godfather,True,WRITING
5079,1972,1973,45,Jeremy Larner,The Candidate,True,WRITING
5084,1972,1973,45,"L. B. Abbott, A. D. Flowers",The Poseidon Adventure,True,ETC
5089,1973,1974,46,Jack Lemmon,Save the Tiger,True,ACTOR
5095,1973,1974,46,John Houseman,The Paper Chase,True,ACTOR SUPPORTING
5099,1973,1974,46,Glenda Jackson,A Touch of Class,True,ACTRESS
5106,1973,1974,46,Tatum O'Neal,Paper Moon,True,ACTRESS SUPPORTING
5110,1973,1974,46,Art Direction:  Henry Bumstead;  Set Decoration:  James Payne,The Sting,True,ETC
5113,1973,1974,46,Sven Nykvist,Cries and Whispers,True,CINEMATOGRAPHY
5120,1973,1974,46,Edith Head,The Sting,True,ETC
5127,1973,1974,46,George Roy Hill,The Sting,True,DIRECTING
5130,1973,1974,46,"Kieth Merrill, Producer",The Great American Cowboy,True,ETC
5137,1973,1974,46,"Julian Krainin and DeWitt L. Sage, Jr., Producers",Princeton: A Search for Answers,True,ETC
5143,1973,1974,46,France,Day for Night,True,ETC
5152,1973,1974,46,Marvin Hamlisch,The Way We Were,True,ETC
5154,1973,1974,46,Adaptation Score by Marvin Hamlisch,The Sting,True,ETC
5160,1973,1974,46,Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman,The Way We Were,True,ETC
5164,1973,1974,46,"Tony Bill, Michael Phillips and Julia Phillips, Producers",The Sting,True,BEST PICTURE
5166,1973,1974,46,"Frank Mouris, Producer",Frank Film,True,ETC
5169,1973,1974,46,"Allan Miller and William Fertik, Producers",The Bolero,True,ETC
5173,1973,1974,46,"Robert Knudson, Chris Newman",The Exorcist,True,ETC
5177,1973,1974,46,William Peter Blatty,The Exorcist,True,WRITING
5185,1973,1974,46,David S. Ward,The Sting,True,WRITING
5191,1974,1975,47,Art Carney,Harry and Tonto,True,ACTOR
5198,1974,1975,47,Robert De Niro,The Godfather Part II,True,ACTOR SUPPORTING
5201,1974,1975,47,Ellen Burstyn,Alice Doesn't Live Here Anymore,True,ACTRESS
5206,1974,1975,47,Ingrid Bergman,Murder on the Orient Express,True,ACTRESS SUPPORTING
5213,1974,1975,47,"Art Direction:  Dean Tavoularis, Angelo Graham;  Set Decoration:  George R. Nelson",The Godfather Part II,True,ETC
5220,1974,1975,47,"Fred Koenekamp, Joseph Biroc",The Towering Inferno,True,CINEMATOGRAPHY
5224,1974,1975,47,Theoni V. Aldredge,The Great Gatsby,True,ETC
5228,1974,1975,47,Francis Ford Coppola,The Godfather Part II,True,DIRECTING
5234,1974,1975,47,"Peter Davis and Bert Schneider, Producers",Hearts and Minds,True,ETC
5237,1974,1975,47,"Robin Lehman, Producer",Don't,True,ETC
5246,1974,1975,47,Italy,Amarcord,True,ETC
